epoch,train_loss,train_dice,train_iou,train_precision,train_recall,train_tp,train_fp,train_fn,train_tn,learning_rate,val_loss,val_dice,val_iou,val_precision,val_recall,val_tp,val_fp,val_fn,val_tn,is_best,best_val_dice
11,0.18356304841382162,0.9240609572135312,0.8588413659758981,0.9269285788956521,0.9212110238250528,6481638,510959,554359,38328244,5e-05,0.2544984944661458,0.8847244875889867,0.7932788604641564,0.9071798929679529,0.8633539059718343,1306965,133725,206858,8182852,True,0.8847244875889867
12,0.16052438233579908,0.9337631650163458,0.8757558680953474,0.9410677644166335,0.926571089292273,6516164,408060,516393,38434583,5e-05,0.2486842679977417,0.8881129762685184,0.7987438987173537,0.8999597147751827,0.8765740776827938,1326978,147508,186845,8169069,True,0.8881129762685184
13,0.15876102370875222,0.9330859791530783,0.8745652985349186,0.9372620583962264,0.9289469488399615,6537087,437576,500007,38400530,5e-05,0.31556311329205833,0.8529316102625223,0.7435752025715985,0.8297869549083086,0.8774044257485849,1328235,272459,185588,8044118,False,0.8881129762685184
14,0.15166526343141284,0.9381160825513533,0.8834450424725647,0.9479763885011182,0.9284587874780482,6529340,358321,503110,38484429,5e-05,0.24619839668273927,0.886855704009483,0.7967122566264655,0.9160639061136924,0.8594525251631135,1301059,119212,212764,8197365,False,0.8881129762685184
15,0.13511727835450854,0.9452946353318131,0.8962641767060749,0.9521117530873313,0.9385744446704843,6602080,332064,432077,38508979,5e-05,0.24959570089975994,0.8901841076225028,0.8021007031314992,0.9301859624619327,0.8534808891131922,1292019,96971,221804,8219606,True,0.8901841076225028
16,0.13833032982689994,0.943718887354084,0.8934353516841073,0.9479853777288538,0.9394906283353823,6607897,362566,425592,38479145,5e-05,0.24750828742980957,0.8901841354726732,0.8021007483541468,0.9152248965944549,0.8664771244722798,1311693,121499,202130,8195078,False,0.8901841076225028
17,0.13306823138679777,0.9449508201473015,0.8956462297608074,0.9490319730186562,0.940904617605151,6617990,355421,415656,38486133,5e-05,0.2650937036673228,0.8886275725840714,0.7995767671240819,0.9031332987258205,0.8745804496298445,1323960,142003,189863,8174574,False,0.8901841076225028
18,0.11907523036003113,0.9520801758149026,0.9085429570485286,0.9549650135685016,0.9492127150830844,6679159,314981,357366,38523694,5e-05,0.27979842901229857,0.8716982305867649,0.7725754352402417,0.9255288672770238,0.8237852113490151,1247065,100343,266758,8216234,False,0.8901841076225028
19,0.12239448462213788,0.9487573256384331,0.9025102849963976,0.9531357207731368,0.9444189724073151,6642908,326622,390949,38514721,5e-05,0.25350832581520083,0.8934067543660112,0.8073488229671609,0.9133329975110045,0.874331411268028,1323583,125596,190240,8190981,True,0.8934067543660112
20,0.11527815980570658,0.9507296567464321,0.9060864655703679,0.9541896407733734,0.9472946745346779,6663320,319904,370732,38521244,5e-05,0.2875592374801636,0.8790327189550482,0.7841733954407882,0.8949912478444779,0.8636333309772675,1307388,153395,206435,8163182,False,0.8934067543660112
