seed,training_job_id,training_run_id,stopped_epoch,selected_epoch,best_val_dice,checkpoint_sha256,evaluation_job_id,evaluation_run_id,test_dice,test_iou,test_precision,test_recall,evaluation_note
20260817,23312,5fdf1b9929ec443da426c6442d9e20f1,32,22,0.8977634135250631,a3900c2db01e9e17fa7fedce12da94274d8995284f1c37f6e653df402919361b,23325,73876309ec7c45e09023574a02a47475,0.9183967352352693,0.8491068445832013,0.9237401535043426,0.913114779938238,original_blind_evaluation
20260818,23457,5be446e9eabd40e4ba92d4d2873d333e,42,32,0.9039459519026185,e4d8121dca05927d50566ee851c8a008e3e4c7f9efa1aa537ee9c2a4278fa772,23459,b4fac4a0df96443981af1628206176fd,0.9193148418895515,0.8506777714028673,0.9376171624509241,0.9017133647441447,post_hoc_stability_evaluation
20260819,23458,59a6e9f0b6124001a1af360b4f22dea2,35,25,0.8942383180146468,318c2ccda08c52a30da51ccdfa0f4cd924a932949df2ee3d67811326528a277d,23460,2ec54777437b4ee2a0c84235e9275bdb,0.9135446010175953,0.8408486918774933,0.932206402288133,0.8956153152005296,artifacts_registered_by_recovery_job_23461_without_repeating_inference
